RF001	C101	5	The refund was processed quickly and the staff was very helpful. Great experience despite the cancellation.	2026-04-09T10:00:00
RF002	C102	4	The duplicate charge was sorted out promptly. Docking one star because it should not have happened in the first place.	2026-04-09T16:30:00
RF003	C103	5	Not only did they refund me, they also gave me a complimentary credit. Excellent customer service!	2026-04-10T09:00:00
RF004	C104	5	The staff sorted out my wrong booking immediately and even helped me get the right seats. Really impressed.	2026-04-12T11:00:00
TD001	C104	5	Issue was fixed quickly. The staff walked me through every step patiently.	2026-04-09T14:00:00
TD002	C101	3	The workaround helped but I am disappointed the app had such a basic issue. Response was good though.	2026-04-09T17:00:00
PR001	C101	4	Took a bit longer than expected to fix but the staff kept me informed throughout. Seats were held which I appreciated.	2026-04-10T17:00:00
PR002	C102	5	Resolved quickly once I gave the order number. Staff was professional and reassuring.	2026-04-10T14:00:00
PR007	C112	5	The double booking was a serious error but it was handled very professionally and quickly. Very satisfied with the resolution.	2026-04-15T12:00:00
CR001	C103	5	Got an even better seat than I hoped for. Staff went above and beyond to find me a great spot in the Orchestra section.	2026-04-09T12:00:00
CR002	C101	5	Quick and easy reschedule with no fuss and no extra charge. Exactly what good service looks like.	2026-04-11T10:00:00
TK002	C103	4	Got all the information I needed about group discounts and was connected to the right team. Very helpful.	2026-04-10T15:00:00
RF008	C112	1	Staff no give me refund :(	2026-04-18T02:54:31.040098500
